War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Iberians,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Aetolian League,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Quintus Fabius Maximus Verrucosus,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Gaius Terentius Varro,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Lucius Aemilius Paullus,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Maesulians,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Masaesyli,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Rome,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Carthage,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Publius Cornelius Scipio,Empúries,,,
First Punic War,-0263-01-01T00:00:00Z,-0240-01-01T00:00:00Z,Ancient Rome,Mediterranean Sea,,,
First Punic War,-0263-01-01T00:00:00Z,-0240-01-01T00:00:00Z,Ancient Carthage,Mediterranean Sea,,,
First Punic War,-0263-01-01T00:00:00Z,-0240-01-01T00:00:00Z,tyrant of Syracuse,Mediterranean Sea,,,
Third Punic War,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,Ancient Rome,Tunisia,,,
War of 1812,1812-06-18T00:00:00Z,1815-02-18T00:00:00Z,Choctaw,Pacific Ocean,,,status quo ante bellum
War of 1812,1812-06-18T00:00:00Z,1815-02-18T00:00:00Z,Tecumseh's Confederacy,Pacific Ocean,,,status quo ante bellum
War of 1812,1812-06-18T00:00:00Z,1815-02-18T00:00:00Z,The Canadas,Pacific Ocean,,,status quo ante bellum
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Spain,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Holy Roman Empire,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Ottoman Empire,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Russian Empire,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Kingdom of Portugal,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,French First Republic,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Grand Duchy of Tuscany,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Kingdom of Naples,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,United Kingdom of Great Britain and Ireland,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Roman Republic,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Batavian Republic,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Helvetic Republic,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Cisalpine Republic,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Parthenopean Republic,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Ligurian Republic,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Hospitaller Malta,Mediterranean Sea,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Spain,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Holy Roman Empire,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Ottoman Empire,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Russian Empire,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Kingdom of Portugal,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,French First Republic,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Grand Duchy of Tuscany,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Kingdom of Naples,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,United Kingdom of Great Britain and Ireland,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Roman Republic,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Batavian Republic,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Helvetic Republic,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Cisalpine Republic,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Parthenopean Republic,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Ligurian Republic,Central Europe,,,
War of the Second Coalition,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z,Hospitaller Malta,Central Europe,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Macedonia,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Thessaly,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Boeotia,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Aetolian League,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Locris,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Classical Athens,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Phocis,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Argos,Greece,,,
Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,Amphissa,Greece,,,
First Anglo-Burmese War,1824-03-05T00:00:00Z,1826-02-24T00:00:00Z,British Empire,Myanmar,,,
First Anglo-Burmese War,1824-03-05T00:00:00Z,1826-02-24T00:00:00Z,Konbaung dynasty,Myanmar,,,
First Anglo-Burmese War,1824-03-05T00:00:00Z,1826-02-24T00:00:00Z,Rattanakosin Kingdom,Myanmar,,,
Georgian–Ossetian conflict,1989-11-10T00:00:00Z,,Georgians,South Ossetia,,,
Georgian–Ossetian conflict,1989-11-10T00:00:00Z,,Ossetians,South Ossetia,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Russia,Dagestan,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Boris Yeltsin,Dagestan,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Dzhokhar Dudayev,Dagestan,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Shamil Basayev,Dagestan,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Aslan Maskhadov,Dagestan,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Chechen Republic of Ichkeria,Dagestan,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Pavel Grachev,Dagestan,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Russia,Chechnya,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Boris Yeltsin,Chechnya,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Dzhokhar Dudayev,Chechnya,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Shamil Basayev,Chechnya,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Aslan Maskhadov,Chechnya,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Chechen Republic of Ichkeria,Chechnya,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Pavel Grachev,Chechnya,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Russia,Stavropol Krai,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Boris Yeltsin,Stavropol Krai,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Dzhokhar Dudayev,Stavropol Krai,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Shamil Basayev,Stavropol Krai,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Aslan Maskhadov,Stavropol Krai,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Chechen Republic of Ichkeria,Stavropol Krai,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Pavel Grachev,Stavropol Krai,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Russia,Ingushetia,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Boris Yeltsin,Ingushetia,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Dzhokhar Dudayev,Ingushetia,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Shamil Basayev,Ingushetia,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Aslan Maskhadov,Ingushetia,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Chechen Republic of Ichkeria,Ingushetia,,,
First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,Pavel Grachev,Ingushetia,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Soviet Union,Sakhalin,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Empire of Japan,Sakhalin,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Mongolian People's Republic,Sakhalin,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Soviet Union,Manchukuo,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Empire of Japan,Manchukuo,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Mongolian People's Republic,Manchukuo,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Soviet Union,Inner Mongolia,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Empire of Japan,Inner Mongolia,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Mongolian People's Republic,Inner Mongolia,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Soviet Union,Kuril Islands,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Empire of Japan,Kuril Islands,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Mongolian People's Republic,Kuril Islands,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Soviet Union,Manchuria,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Empire of Japan,Manchuria,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Mongolian People's Republic,Manchuria,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Soviet Union,Korea under Japanese rule,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Empire of Japan,Korea under Japanese rule,,,
Soviet–Japanese War,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,Mongolian People's Republic,Korea under Japanese rule,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of France,Scotland,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Habsburg monarchy,Scotland,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Great Britain,Scotland,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Dutch Republic,Scotland,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Jacobitism,Scotland,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Spain,Scotland,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,States of Savoy,Scotland,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of France,The Bahamas,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Habsburg monarchy,The Bahamas,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Great Britain,The Bahamas,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Dutch Republic,The Bahamas,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Jacobitism,The Bahamas,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Spain,The Bahamas,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,States of Savoy,The Bahamas,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of France,Sardinia,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Habsburg monarchy,Sardinia,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Great Britain,Sardinia,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Dutch Republic,Sardinia,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Jacobitism,Sardinia,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Spain,Sardinia,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,States of Savoy,Sardinia,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of France,Iberian Peninsula,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Habsburg monarchy,Iberian Peninsula,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Great Britain,Iberian Peninsula,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Dutch Republic,Iberian Peninsula,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Jacobitism,Iberian Peninsula,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Spain,Iberian Peninsula,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,States of Savoy,Iberian Peninsula,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of France,Spanish Florida,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Habsburg monarchy,Spanish Florida,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Great Britain,Spanish Florida,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Dutch Republic,Spanish Florida,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Jacobitism,Spanish Florida,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Spain,Spanish Florida,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,States of Savoy,Spanish Florida,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of France,Sicily,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Habsburg monarchy,Sicily,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Great Britain,Sicily,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Dutch Republic,Sicily,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Jacobitism,Sicily,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,Kingdom of Spain,Sicily,,,
War of the Quadruple Alliance,1718-08-02T00:00:00Z,1720-02-17T00:00:00Z,States of Savoy,Sicily,,,
